dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
s3d_cuszp_1e3,cuszp,write,418.2842,0.0000,184.1167,0.0563,231.9813,169.2745,169.2867,14.8422,-0.0121,2.1299,0.005092
s3d_cuszp_1e3,cuszp,read,644.6716,0.0000,566.5005,0.0000,14.3336,0.0000,0.0000,566.5005,0.0000,63.8375,0.099023
s3d_cuszp_1e3,cuszp,write,339.5024,0.0000,177.5450,0.0359,159.7807,162.7976,162.8111,14.7474,-0.0135,2.1407,0.006306
s3d_cuszp_1e3,cuszp,read,637.3224,0.0000,561.5361,0.0000,14.5069,0.0000,0.0000,561.5361,0.0000,61.2794,0.096151
s3d_cuszp_1e3,cuszp,write,368.4705,0.0000,174.0846,0.0362,192.2517,159.8241,159.8321,14.2605,-0.0080,2.0980,0.005694
s3d_cuszp_1e3,cuszp,read,636.0975,0.0000,559.7827,0.0000,14.2430,0.0000,0.0000,559.7827,0.0000,62.0718,0.097582
s3d_cuszp_1e3,cuszp,write,302.4012,0.0000,172.9361,0.0359,127.3064,158.7181,158.7322,14.2180,-0.0141,2.1228,0.007020
s3d_cuszp_1e3,cuszp,read,647.7857,0.0000,569.6279,0.0000,15.4713,0.0000,0.0000,569.6279,0.0000,62.6864,0.096770
s3d_cuszp_1e3,cuszp,write,373.5605,0.0000,183.4989,0.0365,187.9331,169.2284,169.2407,14.2705,-0.0122,2.0920,0.005600
s3d_cuszp_1e3,cuszp,read,625.8777,0.0000,549.6668,0.0000,14.2203,0.0000,0.0000,549.6668,0.0000,61.9905,0.099046
s3d_cuszp_1e3,cuszp,write,267.7620,0.0000,116.7136,0.0348,148.7845,101.8467,101.8605,14.8669,-0.0138,2.2291,0.008325
s3d_cuszp_1e3,cuszp,read,647.4311,0.0000,570.1320,0.0000,15.2518,0.0000,0.0000,570.1320,0.0000,62.0472,0.095836
s3d_cuszp_1e3,cuszp,write,338.7357,0.0000,176.4526,0.0361,160.1836,160.5378,160.5538,15.9148,-0.0160,2.0633,0.006091
s3d_cuszp_1e3,cuszp,read,661.7290,0.0000,585.0053,0.0000,14.8647,0.0000,0.0000,585.0053,0.0000,61.8590,0.093481
s3d_cuszp_1e3,cuszp,write,307.6400,0.0000,177.9865,0.0356,127.5130,161.5883,161.6042,16.3982,-0.0159,2.1050,0.006842
s3d_cuszp_1e3,cuszp,read,645.5504,0.0000,568.7012,0.0000,14.8675,0.0000,0.0000,568.7012,0.0000,61.9816,0.096014
s3d_cuszp_1e3,cuszp,write,257.7693,0.0000,111.9581,0.0579,143.6029,96.6596,96.6742,15.2986,-0.0146,2.1503,0.008342
s3d_cuszp_1e3,cuszp,read,640.1650,0.0000,563.6257,0.0000,14.6583,0.0000,0.0000,563.6257,0.0000,61.8811,0.096664
s3d_cuszp_1e3,cuszp,write,449.2107,0.0000,174.7975,0.0441,272.2659,160.1232,160.1363,14.6743,-0.0132,2.1032,0.004682
s3d_cuszp_1e3,cuszp,read,642.9401,0.0000,561.8850,0.0000,14.5808,0.0000,0.0000,561.8850,0.0000,66.4743,0.103391
