dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,18.1677,127.9991,
miranda,zfp_gpu_r4,vol,write,flush,0.3963,,
miranda,zfp_gpu_r4,vol,write,sync,104.2737,,
miranda,zfp_gpu_r4,vol,write,close,0.1985,,
miranda,zfp_gpu_r4,vol,write,csync,39.9204,,
miranda,zfp_gpu_r4,vol,read,evict,1.1616,,
miranda,zfp_gpu_r4,vol,read,total,78.6263,,2.126550e+00
miranda,zfp_gpu_r8,vol,write,total,11.5038,63.9998,
miranda,zfp_gpu_r8,vol,write,flush,0.2803,,
miranda,zfp_gpu_r8,vol,write,sync,125.9869,,
miranda,zfp_gpu_r8,vol,write,close,0.1407,,
miranda,zfp_gpu_r8,vol,write,csync,45.9144,,
miranda,zfp_gpu_r8,vol,read,evict,5.4690,,
miranda,zfp_gpu_r8,vol,read,total,72.7881,,2.126550e+00
miranda,zfp_gpu_r12,vol,write,total,14.4657,42.6666,
miranda,zfp_gpu_r12,vol,write,flush,0.2861,,
miranda,zfp_gpu_r12,vol,write,sync,98.1315,,
miranda,zfp_gpu_r12,vol,write,close,0.1336,,
miranda,zfp_gpu_r12,vol,write,csync,56.6424,,
miranda,zfp_gpu_r12,vol,read,evict,1.1658,,
miranda,zfp_gpu_r12,vol,read,total,69.1854,,2.126550e+00
miranda,zfp_gpu_r16,vol,write,total,12.8809,31.9999,
miranda,zfp_gpu_r16,vol,write,flush,0.2963,,
miranda,zfp_gpu_r16,vol,write,sync,107.5985,,
miranda,zfp_gpu_r16,vol,write,close,0.1464,,
miranda,zfp_gpu_r16,vol,write,csync,123.3432,,
miranda,zfp_gpu_r16,vol,read,evict,5.4475,,
miranda,zfp_gpu_r16,vol,read,total,77.0571,,2.126550e+00
ocean_temp,zfp_gpu_r4,vol,write,total,8.0522,60.4440,
ocean_temp,zfp_gpu_r4,vol,write,flush,0.2777,,
ocean_temp,zfp_gpu_r4,vol,write,sync,100.6678,,
ocean_temp,zfp_gpu_r4,vol,write,close,0.1406,,
ocean_temp,zfp_gpu_r4,vol,write,csync,68.1622,,
ocean_temp,zfp_gpu_r4,vol,read,evict,1.0931,,
ocean_temp,zfp_gpu_r4,vol,read,total,32.2820,,inf
ocean_temp,zfp_gpu_r8,vol,write,total,12.8397,30.2221,
ocean_temp,zfp_gpu_r8,vol,write,flush,0.2822,,
ocean_temp,zfp_gpu_r8,vol,write,sync,113.0853,,
ocean_temp,zfp_gpu_r8,vol,write,close,0.1394,,
ocean_temp,zfp_gpu_r8,vol,write,csync,74.7368,,
ocean_temp,zfp_gpu_r8,vol,read,evict,3.6795,,
