dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
miranda,zfp_gpu_r4,gpu,1,0,301989888,2359312,127.9991,1.1283,18.1677,0.3963,104.2737,0.1985,39.9204,1.1616,0.3002,78.6263,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r8,gpu,1,0,301989888,4718608,63.9998,0.4904,11.5038,0.2803,125.9869,0.1407,45.9144,5.4690,0.2621,72.7881,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r12,gpu,1,0,301989888,7077904,42.6666,0.4943,14.4657,0.2861,98.1315,0.1336,56.6424,1.1658,0.2624,69.1854,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r16,gpu,1,0,301989888,9437200,31.9999,0.5049,12.8809,0.2963,107.5985,0.1464,123.3432,5.4475,0.2646,77.0571,2.126550e+00,0.000000e+00,3.000046e+00,-1
ocean_temp,zfp_gpu_r4,gpu,1,0,129123840,2136256,60.4440,0.5535,8.0522,0.2777,100.6678,0.1406,68.1622,1.0931,0.2651,32.2820,inf,0.000000e+00,inf,-1
ocean_temp,zfp_gpu_r8,gpu,1,0,129123840,4272496,30.2221,0.4821,12.8397,0.2822,113.0853,0.1394,74.7368,3.6795,0.2708,37.7707,9.435963e+00,0.000000e+00,1.072635e+01,-1
ocean_temp,zfp_gpu_r12,gpu,1,0,129123840,6408736,20.1481,0.4789,10.4594,0.2850,122.1721,0.1418,72.0758,1.0571,0.2747,41.9149,9.435963e+00,0.000000e+00,1.072635e+01,-1
ocean_temp,zfp_gpu_r16,gpu,1,0,129123840,8544976,15.1111,0.4832,13.0053,0.2872,116.0101,0.1456,83.9287,1.0815,0.2600,33.8542,9.435963e+00,0.000000e+00,1.072635e+01,-1
scale-T,zfp_gpu_r4,gpu,1,0,564480000,9000016,62.7199,0.7357,16.5696,0.2935,135.1956,0.1757,105.1298,2.0309,0.2635,108.6203,inf,0.000000e+00,inf,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,18000016,31.3600,0.4647,272.6680,0.2653,49.3798,0.1502,47.8589,0.1671,0.2623,119.1817,inf,0.000000e+00,inf,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,27000016,20.9067,0.5052,132.4011,0.2202,216.5743,0.1491,112.0879,1.0536,0.2644,122.8489,inf,0.000000e+00,inf,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,36000016,15.6800,0.4846,122.2005,0.2245,121.7389,0.1266,86.2534,3.9716,0.3803,1071.8086,5.521381e+00,0.000000e+00,5.754571e+00,-1
