arm,dataset,rate,exit,signal,note
none,miranda,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
none,scale-T,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
none,s3d,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
none,nyx_baryon,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
none,ocean_temp,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
none,qmc,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
host,miranda,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
host,scale-T,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,3,CUDA_FAULT,
host,s3d,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
host,nyx_baryon,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
host,ocean_temp,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
host,qmc,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
device,miranda,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
device,scale-T,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,3,CUDA_FAULT,
device,s3d,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
device,nyx_baryon,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
device,ocean_temp,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
device,qmc,zfp_gpu_r4 zfp_gpu_r8 zfp_gpu_r12 zfp_gpu_r16,0,ok,
