dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,16.3013,127.9991,
miranda,zfp_gpu_r4,vol,write,flush,0.5213,,
miranda,zfp_gpu_r4,vol,write,sync,125.0715,,
miranda,zfp_gpu_r4,vol,write,close,0.2509,,
miranda,zfp_gpu_r4,vol,write,csync,58.0941,,
miranda,zfp_gpu_r4,vol,read,evict,1.2422,,
miranda,zfp_gpu_r4,vol,read,total,74.3526,,2.126550e+00
miranda,zfp_gpu_r8,vol,write,total,10.7769,63.9998,
miranda,zfp_gpu_r8,vol,write,flush,0.2827,,
miranda,zfp_gpu_r8,vol,write,sync,104.0395,,
miranda,zfp_gpu_r8,vol,write,close,0.1202,,
miranda,zfp_gpu_r8,vol,write,csync,41.0770,,
miranda,zfp_gpu_r8,vol,read,evict,2.8444,,
miranda,zfp_gpu_r8,vol,read,total,69.7128,,2.126550e+00
miranda,zfp_gpu_r12,vol,write,total,11.6783,42.6666,
miranda,zfp_gpu_r12,vol,write,flush,0.3059,,
miranda,zfp_gpu_r12,vol,write,sync,165.7984,,
miranda,zfp_gpu_r12,vol,write,close,0.1311,,
miranda,zfp_gpu_r12,vol,write,csync,70.1874,,
miranda,zfp_gpu_r12,vol,read,evict,1.0740,,
miranda,zfp_gpu_r12,vol,read,total,74.9416,,2.126550e+00
miranda,zfp_gpu_r16,vol,write,total,12.5422,31.9999,
miranda,zfp_gpu_r16,vol,write,flush,0.2951,,
miranda,zfp_gpu_r16,vol,write,sync,138.0868,,
miranda,zfp_gpu_r16,vol,write,close,0.1713,,
miranda,zfp_gpu_r16,vol,write,csync,86.2915,,
miranda,zfp_gpu_r16,vol,read,evict,1.0569,,
miranda,zfp_gpu_r16,vol,read,total,76.6372,,2.126550e+00
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_miranda.h5,ALL,vol,write,file,844.7897,51.1999,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_miranda.h5,ALL,vol,read,file,296.7657,,
