dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,21.4244,127.9997,
s3d,zfp_gpu_r4,vol,write,flush,0.3435,,
s3d,zfp_gpu_r4,vol,write,sync,232.1983,,
s3d,zfp_gpu_r4,vol,write,close,0.2265,,
s3d,zfp_gpu_r4,vol,write,csync,75.5138,,
s3d,zfp_gpu_r4,vol,read,evict,1.1212,,
s3d,zfp_gpu_r4,vol,read,total,367.8138,,2.230670e-02
s3d,zfp_gpu_r8,vol,write,total,27.1817,63.9999,
s3d,zfp_gpu_r8,vol,write,flush,0.3006,,
s3d,zfp_gpu_r8,vol,write,sync,100.6499,,
s3d,zfp_gpu_r8,vol,write,close,0.1854,,
s3d,zfp_gpu_r8,vol,write,csync,103.4377,,
s3d,zfp_gpu_r8,vol,read,evict,1.1011,,
s3d,zfp_gpu_r8,vol,read,total,230.0352,,2.230670e-02
s3d,zfp_gpu_r12,vol,write,total,120.6569,42.6666,
s3d,zfp_gpu_r12,vol,write,flush,0.2238,,
s3d,zfp_gpu_r12,vol,write,sync,139.5235,,
s3d,zfp_gpu_r12,vol,write,close,0.1264,,
s3d,zfp_gpu_r12,vol,write,csync,70.4236,,
s3d,zfp_gpu_r12,vol,read,evict,1.1251,,
s3d,zfp_gpu_r12,vol,read,total,228.1362,,2.230670e-02
s3d,zfp_gpu_r16,vol,write,total,126.0749,32.0000,
s3d,zfp_gpu_r16,vol,write,flush,0.3971,,
s3d,zfp_gpu_r16,vol,write,sync,118.7183,,
s3d,zfp_gpu_r16,vol,write,close,0.1742,,
s3d,zfp_gpu_r16,vol,write,csync,105.7139,,
s3d,zfp_gpu_r16,vol,read,evict,3.9012,,
s3d,zfp_gpu_r16,vol,read,total,238.9137,,2.230670e-02
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_s3d.h5,ALL,vol,write,file,1246.5391,51.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_s3d.h5,ALL,vol,read,file,1066.0203,,
