dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,109.8176,127.9997,
s3d,zfp_gpu_r4,vol,write,flush,0.3466,,
s3d,zfp_gpu_r4,vol,write,sync,100.0196,,
s3d,zfp_gpu_r4,vol,write,close,0.1956,,
s3d,zfp_gpu_r4,vol,write,csync,76.9567,,
s3d,zfp_gpu_r4,vol,read,evict,1.1700,,
s3d,zfp_gpu_r4,vol,read,total,212.8610,,2.230670e-02
s3d,zfp_gpu_r8,vol,write,total,363.8961,63.9999,
s3d,zfp_gpu_r8,vol,write,flush,0.2938,,
s3d,zfp_gpu_r8,vol,write,sync,124.1456,,
s3d,zfp_gpu_r8,vol,write,close,0.1551,,
s3d,zfp_gpu_r8,vol,write,csync,98.6614,,
s3d,zfp_gpu_r8,vol,read,evict,1.1357,,
s3d,zfp_gpu_r8,vol,read,total,287.4941,,2.230670e-02
s3d,zfp_gpu_r12,vol,write,total,231.3717,42.6666,
s3d,zfp_gpu_r12,vol,write,flush,0.2222,,
s3d,zfp_gpu_r12,vol,write,sync,213.5739,,
s3d,zfp_gpu_r12,vol,write,close,0.1204,,
s3d,zfp_gpu_r12,vol,write,csync,102.7810,,
s3d,zfp_gpu_r12,vol,read,evict,4.1395,,
s3d,zfp_gpu_r12,vol,read,total,228.8163,,2.230670e-02
s3d,zfp_gpu_r16,vol,write,total,284.7917,32.0000,
s3d,zfp_gpu_r16,vol,write,flush,0.2357,,
s3d,zfp_gpu_r16,vol,write,sync,116.7453,,
s3d,zfp_gpu_r16,vol,write,close,0.1489,,
s3d,zfp_gpu_r16,vol,write,csync,123.7625,,
s3d,zfp_gpu_r16,vol,read,evict,5.1251,,
s3d,zfp_gpu_r16,vol,read,total,234.5417,,2.230670e-02
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_s3d.h5,ALL,vol,write,file,1951.0686,51.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_s3d.h5,ALL,vol,read,file,965.1362,,
