dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,74.6921,62.7199,
scale-T,zfp_gpu_r4,vol,write,flush,0.3503,,
scale-T,zfp_gpu_r4,vol,write,sync,119.5813,,
scale-T,zfp_gpu_r4,vol,write,close,0.2321,,
scale-T,zfp_gpu_r4,vol,write,csync,82.9324,,
scale-T,zfp_gpu_r4,vol,read,evict,1.2055,,
scale-T,zfp_gpu_r4,vol,read,total,132.4492,,5.131883e+00
scale-T,zfp_gpu_r8,vol,write,total,259.5682,31.3600,
scale-T,zfp_gpu_r8,vol,write,flush,0.2104,,
scale-T,zfp_gpu_r8,vol,write,sync,178.6974,,
scale-T,zfp_gpu_r8,vol,write,close,0.1458,,
scale-T,zfp_gpu_r8,vol,write,csync,47.0394,,
scale-T,zfp_gpu_r8,vol,read,evict,3.8651,,
scale-T,zfp_gpu_r8,vol,read,total,145.1544,,5.131883e+00
scale-T,zfp_gpu_r12,vol,write,total,270.3858,20.9067,
scale-T,zfp_gpu_r12,vol,write,flush,0.2322,,
scale-T,zfp_gpu_r12,vol,write,sync,108.9080,,
scale-T,zfp_gpu_r12,vol,write,close,0.1175,,
scale-T,zfp_gpu_r12,vol,write,csync,95.6064,,
scale-T,zfp_gpu_r12,vol,read,evict,1.7001,,
scale-T,zfp_gpu_r12,vol,read,total,147.0014,,5.131883e+00
scale-T,zfp_gpu_r16,vol,write,total,223.8867,15.6800,
scale-T,zfp_gpu_r16,vol,write,flush,0.2268,,
scale-T,zfp_gpu_r16,vol,write,sync,116.9124,,
scale-T,zfp_gpu_r16,vol,write,close,0.1138,,
scale-T,zfp_gpu_r16,vol,write,csync,54.4562,,
scale-T,zfp_gpu_r16,vol,read,evict,1.4762,,
scale-T,zfp_gpu_r16,vol,read,total,403.3661,,5.521381e+00
