dataset,compressor,path,op,phase,ms,ratio,rmse
nyx_baryon,zfp_gpu_r4,vol,write,total,68.9927,63.9999,
nyx_baryon,zfp_gpu_r4,vol,write,flush,0.2814,,
nyx_baryon,zfp_gpu_r4,vol,write,sync,111.0493,,
nyx_baryon,zfp_gpu_r4,vol,write,close,0.2272,,
nyx_baryon,zfp_gpu_r4,vol,write,csync,95.7250,,
nyx_baryon,zfp_gpu_r4,vol,read,evict,1.2844,,
nyx_baryon,zfp_gpu_r4,vol,read,total,130.1658,,inf
nyx_baryon,zfp_gpu_r8,vol,write,total,164.8514,32.0000,
nyx_baryon,zfp_gpu_r8,vol,write,flush,0.2077,,
nyx_baryon,zfp_gpu_r8,vol,write,sync,112.7865,,
nyx_baryon,zfp_gpu_r8,vol,write,close,0.1574,,
nyx_baryon,zfp_gpu_r8,vol,write,csync,38.5777,,
nyx_baryon,zfp_gpu_r8,vol,read,evict,4.3848,,
nyx_baryon,zfp_gpu_r8,vol,read,total,209.9039,,inf
nyx_baryon,zfp_gpu_r12,vol,write,total,288.9594,21.3333,
nyx_baryon,zfp_gpu_r12,vol,write,flush,0.2219,,
nyx_baryon,zfp_gpu_r12,vol,write,sync,143.2229,,
nyx_baryon,zfp_gpu_r12,vol,write,close,0.1222,,
nyx_baryon,zfp_gpu_r12,vol,write,csync,117.9170,,
nyx_baryon,zfp_gpu_r12,vol,read,evict,1.7010,,
nyx_baryon,zfp_gpu_r12,vol,read,total,145.2606,,inf
nyx_baryon,zfp_gpu_r16,vol,write,total,172.3374,16.0000,
nyx_baryon,zfp_gpu_r16,vol,write,flush,0.2313,,
nyx_baryon,zfp_gpu_r16,vol,write,sync,139.9004,,
nyx_baryon,zfp_gpu_r16,vol,write,close,0.1531,,
nyx_baryon,zfp_gpu_r16,vol,write,csync,40.3819,,
nyx_baryon,zfp_gpu_r16,vol,read,evict,4.5984,,
nyx_baryon,zfp_gpu_r16,vol,read,total,156.0296,,6.201415e-01
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_none_nyx_baryon.h5,ALL,vol,write,file,1498.9678,25.6000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_none_nyx_baryon.h5,ALL,vol,read,file,642.4513,,
