dataset,compressor,path,op,phase,ms,ratio,rmse
nyx_baryon,zfp_gpu_r4,vol,write,total,69.7912,63.9999,
nyx_baryon,zfp_gpu_r4,vol,write,flush,0.3252,,
nyx_baryon,zfp_gpu_r4,vol,write,sync,95.1004,,
nyx_baryon,zfp_gpu_r4,vol,write,close,0.1949,,
nyx_baryon,zfp_gpu_r4,vol,write,csync,81.6405,,
nyx_baryon,zfp_gpu_r4,vol,read,evict,1.1852,,
nyx_baryon,zfp_gpu_r4,vol,read,total,132.7722,,inf
nyx_baryon,zfp_gpu_r8,vol,write,total,293.5749,32.0000,
nyx_baryon,zfp_gpu_r8,vol,write,flush,0.2073,,
nyx_baryon,zfp_gpu_r8,vol,write,sync,118.7743,,
nyx_baryon,zfp_gpu_r8,vol,write,close,0.1341,,
nyx_baryon,zfp_gpu_r8,vol,write,csync,42.0323,,
nyx_baryon,zfp_gpu_r8,vol,read,evict,1.2263,,
nyx_baryon,zfp_gpu_r8,vol,read,total,138.3885,,inf
nyx_baryon,zfp_gpu_r12,vol,write,total,250.1661,21.3333,
nyx_baryon,zfp_gpu_r12,vol,write,flush,0.2226,,
nyx_baryon,zfp_gpu_r12,vol,write,sync,112.5949,,
nyx_baryon,zfp_gpu_r12,vol,write,close,0.1187,,
nyx_baryon,zfp_gpu_r12,vol,write,csync,104.5648,,
nyx_baryon,zfp_gpu_r12,vol,read,evict,6.6909,,
nyx_baryon,zfp_gpu_r12,vol,read,total,144.3588,,inf
nyx_baryon,zfp_gpu_r16,vol,write,total,256.6693,16.0000,
nyx_baryon,zfp_gpu_r16,vol,write,flush,0.2153,,
nyx_baryon,zfp_gpu_r16,vol,write,sync,155.3033,,
nyx_baryon,zfp_gpu_r16,vol,write,close,0.1313,,
nyx_baryon,zfp_gpu_r16,vol,write,csync,41.8652,,
nyx_baryon,zfp_gpu_r16,vol,read,evict,3.9251,,
nyx_baryon,zfp_gpu_r16,vol,read,total,147.2982,,6.201415e-01
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_nyx_baryon.h5,ALL,vol,write,file,1625.9838,25.6000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_nyx_baryon.h5,ALL,vol,read,file,563.9620,,
