dataset,compressor,path,op,phase,ms,ratio,rmse
ocean_temp,zfp_gpu_r4,vol,write,total,23.6075,60.4440,
ocean_temp,zfp_gpu_r4,vol,write,flush,0.2513,,
ocean_temp,zfp_gpu_r4,vol,write,sync,179.7341,,
ocean_temp,zfp_gpu_r4,vol,write,close,0.1971,,
ocean_temp,zfp_gpu_r4,vol,write,csync,43.3232,,
ocean_temp,zfp_gpu_r4,vol,read,evict,1.0881,,
ocean_temp,zfp_gpu_r4,vol,read,total,38.0878,,inf
ocean_temp,zfp_gpu_r8,vol,write,total,26.3110,30.2221,
ocean_temp,zfp_gpu_r8,vol,write,flush,0.2251,,
ocean_temp,zfp_gpu_r8,vol,write,sync,92.0602,,
ocean_temp,zfp_gpu_r8,vol,write,close,0.1663,,
ocean_temp,zfp_gpu_r8,vol,write,csync,54.8313,,
ocean_temp,zfp_gpu_r8,vol,read,evict,3.6982,,
ocean_temp,zfp_gpu_r8,vol,read,total,44.7474,,inf
ocean_temp,zfp_gpu_r12,vol,write,total,53.1894,20.1481,
ocean_temp,zfp_gpu_r12,vol,write,flush,0.2384,,
ocean_temp,zfp_gpu_r12,vol,write,sync,99.8776,,
ocean_temp,zfp_gpu_r12,vol,write,close,0.1546,,
ocean_temp,zfp_gpu_r12,vol,write,csync,60.0306,,
ocean_temp,zfp_gpu_r12,vol,read,evict,1.0638,,
ocean_temp,zfp_gpu_r12,vol,read,total,38.8746,,inf
ocean_temp,zfp_gpu_r16,vol,write,total,22.8492,15.1111,
ocean_temp,zfp_gpu_r16,vol,write,flush,0.2203,,
ocean_temp,zfp_gpu_r16,vol,write,sync,143.3763,,
ocean_temp,zfp_gpu_r16,vol,write,close,0.1660,,
ocean_temp,zfp_gpu_r16,vol,write,csync,110.6361,,
ocean_temp,zfp_gpu_r16,vol,read,evict,1.1052,,
ocean_temp,zfp_gpu_r16,vol,read,total,40.9795,,inf
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_ocean_temp.h5,ALL,vol,write,file,913.8671,24.1777,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_ocean_temp.h5,ALL,vol,read,file,164.1188,,
