dataset,compressor,path,op,phase,ms,ratio,rmse
nyx_baryon,zfp_gpu_r4,vol,write,total,184.0527,8.0000,
nyx_baryon,zfp_gpu_r4,vol,write,flush,0.3162,,
nyx_baryon,zfp_gpu_r4,vol,write,sync,105.6507,,
nyx_baryon,zfp_gpu_r4,vol,write,close,0.1662,,
nyx_baryon,zfp_gpu_r4,vol,write,csync,37.2866,,
nyx_baryon,zfp_gpu_r4,vol,read,evict,1.6297,,
nyx_baryon,zfp_gpu_r4,vol,read,total,154.9232,,3.990804e-03
nyx_baryon,zfp_gpu_r8,vol,write,total,213.0284,4.0000,
nyx_baryon,zfp_gpu_r8,vol,write,flush,143.2870,,
nyx_baryon,zfp_gpu_r8,vol,write,sync,144.3808,,
nyx_baryon,zfp_gpu_r8,vol,write,close,0.1454,,
nyx_baryon,zfp_gpu_r8,vol,write,csync,41.8468,,
nyx_baryon,zfp_gpu_r8,vol,read,evict,1.6993,,
nyx_baryon,zfp_gpu_r8,vol,read,total,169.6154,,2.611385e-04
nyx_baryon,zfp_gpu_r12,vol,write,total,231.7514,2.6667,
nyx_baryon,zfp_gpu_r12,vol,write,flush,171.7176,,
nyx_baryon,zfp_gpu_r12,vol,write,sync,119.3113,,
nyx_baryon,zfp_gpu_r12,vol,write,close,0.1132,,
nyx_baryon,zfp_gpu_r12,vol,write,csync,35.8776,,
nyx_baryon,zfp_gpu_r12,vol,read,evict,1.0975,,
nyx_baryon,zfp_gpu_r12,vol,read,total,252.5129,,1.632452e-05
nyx_baryon,zfp_gpu_r16,vol,write,total,255.9580,2.0000,
nyx_baryon,zfp_gpu_r16,vol,write,flush,114.1282,,
nyx_baryon,zfp_gpu_r16,vol,write,sync,133.4350,,
nyx_baryon,zfp_gpu_r16,vol,write,close,0.1137,,
nyx_baryon,zfp_gpu_r16,vol,write,csync,56.8687,,
nyx_baryon,zfp_gpu_r16,vol,read,evict,3.8634,,
nyx_baryon,zfp_gpu_r16,vol,read,total,208.8848,,1.020320e-06
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_nyx_baryon.h5,ALL,vol,write,file,1991.8750,3.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_nyx_baryon.h5,ALL,vol,read,file,787.0189,,
