dataset,compressor,path,op,phase,ms,ratio,rmse
ocean_temp,zfp_gpu_r4,vol,write,total,152.9986,7.5555,
ocean_temp,zfp_gpu_r4,vol,write,flush,0.2479,,
ocean_temp,zfp_gpu_r4,vol,write,sync,104.2147,,
ocean_temp,zfp_gpu_r4,vol,write,close,0.1381,,
ocean_temp,zfp_gpu_r4,vol,write,csync,59.7856,,
ocean_temp,zfp_gpu_r4,vol,read,evict,6.7910,,
ocean_temp,zfp_gpu_r4,vol,read,total,41.8217,,4.110138e-03
ocean_temp,zfp_gpu_r8,vol,write,total,128.3267,3.7778,
ocean_temp,zfp_gpu_r8,vol,write,flush,0.2233,,
ocean_temp,zfp_gpu_r8,vol,write,sync,123.2276,,
ocean_temp,zfp_gpu_r8,vol,write,close,0.1431,,
ocean_temp,zfp_gpu_r8,vol,write,csync,45.0572,,
ocean_temp,zfp_gpu_r8,vol,read,evict,1.2910,,
ocean_temp,zfp_gpu_r8,vol,read,total,44.3527,,2.793029e-04
ocean_temp,zfp_gpu_r12,vol,write,total,165.6713,2.5185,
ocean_temp,zfp_gpu_r12,vol,write,flush,0.2316,,
ocean_temp,zfp_gpu_r12,vol,write,sync,189.0951,,
ocean_temp,zfp_gpu_r12,vol,write,close,0.1115,,
ocean_temp,zfp_gpu_r12,vol,write,csync,54.6991,,
ocean_temp,zfp_gpu_r12,vol,read,evict,5.2318,,
ocean_temp,zfp_gpu_r12,vol,read,total,49.3335,,1.751554e-05
ocean_temp,zfp_gpu_r16,vol,write,total,160.4958,1.8889,
ocean_temp,zfp_gpu_r16,vol,write,flush,0.2299,,
ocean_temp,zfp_gpu_r16,vol,write,sync,404.3119,,
ocean_temp,zfp_gpu_r16,vol,write,close,0.1173,,
ocean_temp,zfp_gpu_r16,vol,write,csync,55.9654,,
ocean_temp,zfp_gpu_r16,vol,read,evict,1.1018,,
ocean_temp,zfp_gpu_r16,vol,read,total,55.4358,,1.113540e-06
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_ocean_temp.h5,ALL,vol,write,file,1647.5854,3.0222,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_ocean_temp.h5,ALL,vol,read,file,192.1462,,
