dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,209.0552,7.8400,
scale-T,zfp_gpu_r4,vol,write,flush,0.3015,,
scale-T,zfp_gpu_r4,vol,write,sync,182.6633,,
scale-T,zfp_gpu_r4,vol,write,close,0.2141,,
scale-T,zfp_gpu_r4,vol,write,csync,51.6655,,
scale-T,zfp_gpu_r4,vol,read,evict,1.0406,,
scale-T,zfp_gpu_r4,vol,read,total,158.5558,,2.433547e-05
scale-T,zfp_gpu_r8,vol,write,total,258.5979,3.9200,
scale-T,zfp_gpu_r8,vol,write,flush,94.0775,,
scale-T,zfp_gpu_r8,vol,write,sync,117.7911,,
scale-T,zfp_gpu_r8,vol,write,close,0.1129,,
scale-T,zfp_gpu_r8,vol,write,csync,152.2815,,
scale-T,zfp_gpu_r8,vol,read,evict,1.9123,,
scale-T,zfp_gpu_r8,vol,read,total,180.6985,,1.732433e-06
scale-T,zfp_gpu_r12,vol,write,total,229.0462,2.6133,
scale-T,zfp_gpu_r12,vol,write,flush,123.8062,,
scale-T,zfp_gpu_r12,vol,write,sync,120.7152,,
scale-T,zfp_gpu_r12,vol,write,close,0.1315,,
scale-T,zfp_gpu_r12,vol,write,csync,184.8938,,
scale-T,zfp_gpu_r12,vol,read,evict,1.0991,,
scale-T,zfp_gpu_r12,vol,read,total,200.4572,,1.085722e-07
scale-T,zfp_gpu_r16,vol,write,total,263.1069,1.9600,
scale-T,zfp_gpu_r16,vol,write,flush,160.7008,,
scale-T,zfp_gpu_r16,vol,write,sync,122.0910,,
scale-T,zfp_gpu_r16,vol,write,close,0.1395,,
scale-T,zfp_gpu_r16,vol,write,csync,50.2913,,
scale-T,zfp_gpu_r16,vol,read,evict,4.5392,,
scale-T,zfp_gpu_r16,vol,read,total,463.5321,,5.521381e+00
