dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,177.4309,16.0000,
miranda,zfp_gpu_r4,vol,write,flush,0.2735,,
miranda,zfp_gpu_r4,vol,write,sync,187.3202,,
miranda,zfp_gpu_r4,vol,write,close,0.1840,,
miranda,zfp_gpu_r4,vol,write,csync,44.4929,,
miranda,zfp_gpu_r4,vol,read,evict,1.2077,,
miranda,zfp_gpu_r4,vol,read,total,81.7103,,1.323060e-04
miranda,zfp_gpu_r8,vol,write,total,262.8770,8.0000,
miranda,zfp_gpu_r8,vol,write,flush,0.2213,,
miranda,zfp_gpu_r8,vol,write,sync,156.9025,,
miranda,zfp_gpu_r8,vol,write,close,0.1335,,
miranda,zfp_gpu_r8,vol,write,csync,49.4554,,
miranda,zfp_gpu_r8,vol,read,evict,3.9029,,
miranda,zfp_gpu_r8,vol,read,total,83.8427,,6.719211e-06
miranda,zfp_gpu_r12,vol,write,total,203.0838,5.3333,
miranda,zfp_gpu_r12,vol,write,flush,0.2183,,
miranda,zfp_gpu_r12,vol,write,sync,108.3539,,
miranda,zfp_gpu_r12,vol,write,close,0.1232,,
miranda,zfp_gpu_r12,vol,write,csync,62.4355,,
miranda,zfp_gpu_r12,vol,read,evict,4.1643,,
miranda,zfp_gpu_r12,vol,read,total,87.1255,,4.240786e-07
miranda,zfp_gpu_r16,vol,write,total,221.9996,4.0000,
miranda,zfp_gpu_r16,vol,write,flush,0.2609,,
miranda,zfp_gpu_r16,vol,write,sync,117.2504,,
miranda,zfp_gpu_r16,vol,write,close,0.1484,,
miranda,zfp_gpu_r16,vol,write,csync,89.0690,,
miranda,zfp_gpu_r16,vol,read,evict,6.2195,,
miranda,zfp_gpu_r16,vol,read,total,105.8372,,2.650153e-08
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_host_miranda.h5,ALL,vol,write,file,1684.7988,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_host_miranda.h5,ALL,vol,read,file,359.7811,,
