dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,196.6385,16.0000,
miranda,zfp_gpu_r4,vol,write,flush,0.2760,,
miranda,zfp_gpu_r4,vol,write,sync,164.8327,,
miranda,zfp_gpu_r4,vol,write,close,0.1777,,
miranda,zfp_gpu_r4,vol,write,csync,50.3510,,
miranda,zfp_gpu_r4,vol,read,evict,4.5885,,
miranda,zfp_gpu_r4,vol,read,total,80.4778,,1.323060e-04
miranda,zfp_gpu_r8,vol,write,total,257.1761,8.0000,
miranda,zfp_gpu_r8,vol,write,flush,0.2347,,
miranda,zfp_gpu_r8,vol,write,sync,136.7872,,
miranda,zfp_gpu_r8,vol,write,close,0.5713,,
miranda,zfp_gpu_r8,vol,write,csync,56.8486,,
miranda,zfp_gpu_r8,vol,read,evict,8.1284,,
miranda,zfp_gpu_r8,vol,read,total,115.5307,,6.719211e-06
miranda,zfp_gpu_r12,vol,write,total,191.3726,5.3333,
miranda,zfp_gpu_r12,vol,write,flush,0.2107,,
miranda,zfp_gpu_r12,vol,write,sync,135.4015,,
miranda,zfp_gpu_r12,vol,write,close,0.1120,,
miranda,zfp_gpu_r12,vol,write,csync,57.5499,,
miranda,zfp_gpu_r12,vol,read,evict,1.7070,,
miranda,zfp_gpu_r12,vol,read,total,97.2032,,4.240786e-07
miranda,zfp_gpu_r16,vol,write,total,197.3792,4.0000,
miranda,zfp_gpu_r16,vol,write,flush,0.2315,,
miranda,zfp_gpu_r16,vol,write,sync,179.9665,,
miranda,zfp_gpu_r16,vol,write,close,0.1099,,
miranda,zfp_gpu_r16,vol,write,csync,117.6081,,
miranda,zfp_gpu_r16,vol,read,evict,3.8304,,
miranda,zfp_gpu_r16,vol,read,total,91.0128,,2.650153e-08
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_miranda.h5,ALL,vol,write,file,1746.3119,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_miranda.h5,ALL,vol,read,file,385.4264,,
