dataset,compressor,path,op,phase,ms,ratio,rmse
ocean_temp,zfp_gpu_r4,vol,write,total,131.3158,7.5555,
ocean_temp,zfp_gpu_r4,vol,write,flush,0.2455,,
ocean_temp,zfp_gpu_r4,vol,write,sync,409.9758,,
ocean_temp,zfp_gpu_r4,vol,write,close,0.1551,,
ocean_temp,zfp_gpu_r4,vol,write,csync,41.2122,,
ocean_temp,zfp_gpu_r4,vol,read,evict,1.1936,,
ocean_temp,zfp_gpu_r4,vol,read,total,51.0239,,4.110138e-03
ocean_temp,zfp_gpu_r8,vol,write,total,144.8020,3.7778,
ocean_temp,zfp_gpu_r8,vol,write,flush,0.2722,,
ocean_temp,zfp_gpu_r8,vol,write,sync,381.7126,,
ocean_temp,zfp_gpu_r8,vol,write,close,0.1157,,
ocean_temp,zfp_gpu_r8,vol,write,csync,99.9329,,
ocean_temp,zfp_gpu_r8,vol,read,evict,4.7490,,
ocean_temp,zfp_gpu_r8,vol,read,total,47.3803,,2.793029e-04
ocean_temp,zfp_gpu_r12,vol,write,total,168.3010,2.5185,
ocean_temp,zfp_gpu_r12,vol,write,flush,0.2329,,
ocean_temp,zfp_gpu_r12,vol,write,sync,200.3966,,
ocean_temp,zfp_gpu_r12,vol,write,close,0.1140,,
ocean_temp,zfp_gpu_r12,vol,write,csync,50.4152,,
ocean_temp,zfp_gpu_r12,vol,read,evict,1.6871,,
ocean_temp,zfp_gpu_r12,vol,read,total,49.7491,,1.751554e-05
ocean_temp,zfp_gpu_r16,vol,write,total,200.7481,1.8889,
ocean_temp,zfp_gpu_r16,vol,write,flush,0.2310,,
ocean_temp,zfp_gpu_r16,vol,write,sync,179.6925,,
ocean_temp,zfp_gpu_r16,vol,write,close,0.1223,,
ocean_temp,zfp_gpu_r16,vol,write,csync,60.8852,,
ocean_temp,zfp_gpu_r16,vol,read,evict,7.2518,,
ocean_temp,zfp_gpu_r16,vol,read,total,65.6140,,1.113540e-06
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_ocean_temp.h5,ALL,vol,write,file,2073.3018,3.0222,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_ocean_temp.h5,ALL,vol,read,file,214.9135,,
