dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,264.8578,16.0000,
s3d,zfp_gpu_r4,vol,write,flush,0.2737,,
s3d,zfp_gpu_r4,vol,write,sync,111.9547,,
s3d,zfp_gpu_r4,vol,write,close,0.2406,,
s3d,zfp_gpu_r4,vol,write,csync,128.3406,,
s3d,zfp_gpu_r4,vol,read,evict,2.5010,,
s3d,zfp_gpu_r4,vol,read,total,478.6811,,5.735426e-08
s3d,zfp_gpu_r8,vol,write,total,366.1708,8.0000,
s3d,zfp_gpu_r8,vol,write,flush,115.3302,,
s3d,zfp_gpu_r8,vol,write,sync,144.4937,,
s3d,zfp_gpu_r8,vol,write,close,0.1139,,
s3d,zfp_gpu_r8,vol,write,csync,75.3689,,
s3d,zfp_gpu_r8,vol,read,evict,11.8921,,
s3d,zfp_gpu_r8,vol,read,total,284.8450,,1.567633e-09
s3d,zfp_gpu_r12,vol,write,total,370.6155,5.3333,
s3d,zfp_gpu_r12,vol,write,flush,115.6229,,
s3d,zfp_gpu_r12,vol,write,sync,145.7744,,
s3d,zfp_gpu_r12,vol,write,close,0.1095,,
s3d,zfp_gpu_r12,vol,write,csync,51.9028,,
s3d,zfp_gpu_r12,vol,read,evict,1.1636,,
s3d,zfp_gpu_r12,vol,read,total,341.3207,,8.514477e-11
s3d,zfp_gpu_r16,vol,write,total,352.5681,4.0000,
s3d,zfp_gpu_r16,vol,write,flush,85.9475,,
s3d,zfp_gpu_r16,vol,write,sync,129.3839,,
s3d,zfp_gpu_r16,vol,write,close,0.1084,,
s3d,zfp_gpu_r16,vol,write,csync,171.2694,,
s3d,zfp_gpu_r16,vol,read,evict,1.1122,,
s3d,zfp_gpu_r16,vol,read,total,342.7942,,5.312260e-12
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_s3d.h5,ALL,vol,write,file,2633.1708,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_s3d.h5,ALL,vol,read,file,1448.7833,,
