dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,220.4986,7.8400,
scale-T,zfp_gpu_r4,vol,write,flush,0.2899,,
scale-T,zfp_gpu_r4,vol,write,sync,143.6991,,
scale-T,zfp_gpu_r4,vol,write,close,0.1914,,
scale-T,zfp_gpu_r4,vol,write,csync,100.7417,,
scale-T,zfp_gpu_r4,vol,read,evict,1.1426,,
scale-T,zfp_gpu_r4,vol,read,total,161.6109,,2.433547e-05
scale-T,zfp_gpu_r8,vol,write,total,271.5485,3.9200,
scale-T,zfp_gpu_r8,vol,write,flush,103.2629,,
scale-T,zfp_gpu_r8,vol,write,sync,116.8753,,
scale-T,zfp_gpu_r8,vol,write,close,0.1144,,
scale-T,zfp_gpu_r8,vol,write,csync,337.9543,,
scale-T,zfp_gpu_r8,vol,read,evict,1.2480,,
scale-T,zfp_gpu_r8,vol,read,total,182.3022,,1.732433e-06
scale-T,zfp_gpu_r12,vol,write,total,268.3725,2.6133,
scale-T,zfp_gpu_r12,vol,write,flush,110.3259,,
scale-T,zfp_gpu_r12,vol,write,sync,189.4043,,
scale-T,zfp_gpu_r12,vol,write,close,0.1133,,
scale-T,zfp_gpu_r12,vol,write,csync,116.5617,,
scale-T,zfp_gpu_r12,vol,read,evict,1.0676,,
scale-T,zfp_gpu_r12,vol,read,total,265.1342,,1.085722e-07
scale-T,zfp_gpu_r16,vol,write,total,321.7564,1.9600,
scale-T,zfp_gpu_r16,vol,write,flush,264.0150,,
scale-T,zfp_gpu_r16,vol,write,sync,81.9470,,
scale-T,zfp_gpu_r16,vol,write,close,0.1379,,
scale-T,zfp_gpu_r16,vol,write,csync,56.8973,,
scale-T,zfp_gpu_r16,vol,read,evict,7.6956,,
scale-T,zfp_gpu_r16,vol,read,total,590.4239,,5.521381e+00
